Product_Name,Brand,Category,Status,Price_RM,Rating,Comment,Comment_num
"MasterLink 30""-46"" Full Motion Mount MSL-4063FM802",MasterLink,Accessories,AVAILABLE,249.0,0.0,-,0
Samsung HW-T450 Soundbar,Samsung,Audio,OUT OF STOCK,649.0,0.0,-,0
MSI Gaming Head Set Immerse GH60 Hi-Res Sound,MSI,Audio,OUT OF STOCK,370.0,0.0,-,0
Beats Studio3 Wireless Over‑Ear Headphones Shadow Grey BTS-MQUF2ZP/A,Beats,Audio,OUT OF STOCK,1429.0,0.0,-,0
Sony Microphone SNY-FV120,Sony,Audio,AVAILABLE,32.0,5.0,"['Good service and staff friendly #GrandsenhengBanting #SenhengKOC #31Anniversary#31Anniversary,#SenhengKOC']",1
Sony Sports Wireless In-Ear Headphones (Yellow) SNY-WISP600N/YME,Sony,Audio,AVAILABLE,553.0,0.0,-,0
Sony WF-SP700N Wireless Noise Cancelling Headphones White,Sony,Wearables,OUT OF STOCK,630.0,0.0,-,0
Sharp 42-Inch Full HD TV 2TC42BG1X,Sharp,TV,AVAILABLE,1299.0,0.0,-,0
Sony Sport In-Ear Headphones (Pink) - SNY-MDRAS210APPQE,Sony,Audio,OUT OF STOCK,76.0,0.0,-,0
Riversong Melody T+ (Type-C),Riversong,Audio,AVAILABLE,54.0,0.0,-,0
Sony In-Ear Headphones (Black) - SNY-MDREX15LPBZE,Sony,Audio,OUT OF STOCK,38.0,0.0,-,0
Skyworth 40 Inch Full HD Android Smart LED TV 40TB7000,Skyworth,TV,AVAILABLE,1399.0,0.0,-,0
LG UN71 Series 60” 4K Active HDR Smart UHD TV with AI ThinQ® ( 2020) LG-60UN7100,LG,TV,AVAILABLE,3199.0,5.0,"['The Feature that crowns it all for me is the LG Magic remote that it came with. What can be better than a Magic remote that allows me to control multiple devices by just changing its source, and the remote corresponds immediately. I love this TV and will highly recommend it to everyone.']",1
Cento 42 Inch Fixed TV Bracket,Cento,Accessories,AVAILABLE,139.0,0.0,-,0
Samsung TU8000 Crystal UHD 4K Smart TV (2020),Samsung,TV,OUT OF STOCK,2719.0,5.0,"['best price form senheng #senhengPOKOKMANGGA#31Anniversary,#SenhengKOC', 'good service at senheng segamat #31Anniversary,#SenhengKOC', 'Best service at senheng segamat.#SenhengKOC,#31Anniversary', 'Bought my new TV at senheng raja uda happy at senheng and good promotion #senhengrajauda#31Anniversary,#SenhengKOC', 'service baik#31Anniversary,#SenhengKOC', '#senhengkoc #senheng1lagenda#31aniveserry#31Anniversary,#SenhengKOC', 'good service at grand senheng jln ali#31Anniversary,#SenhengKOC']",7
Panasonic 2.1ch Sound Bar PSN-SCHTB488,Panasonic,Audio,OUT OF STOCK,779.0,0.0,-,0
Sony Sports Wireless In-Ear Headphones (Black) SNY-WISP600N/BME,Sony,Audio,OUT OF STOCK,553.0,0.0,-,0
Sony Earphone (Black) SNY-MDRE9LP/B,Sony,Audio,OUT OF STOCK,26.0,0.0,-,0
"Cento 25""-43"" Full Motion Mount CT-LCDM2543",Cento,Accessories,AVAILABLE,178.0,0.0,-,0
Sony Wireless In-Ear Headphones (Blue) SNY-WIC400/LZE,Sony,Audio,OUT OF STOCK,237.0,0.0,-,0
Panasonic Street Wireless Headphones 2019 RP-HTX20B (Matte Black),Panasonic,Audio,OUT OF STOCK,499.0,0.0,-,0
